Date,Adj Close,Close,High,Low,Open,Volume
2/18/2021,268.58136,269.390015,271.950012,266.029999,269.570007,15249100
2/19/2021,260.774841,261.559998,270.269989,260.149994,269.859985,25622600
2/22/2021,259.548523,260.329987,263.070007,257.529999,257.950012,17434900
2/23/2021,265.06192,265.859985,267.459991,254.960007,259.5,21924600
2/24/2021,263.516571,264.309998,266.380005,258.390015,262.329987,15736100
2/25/2021,253.925461,254.690002,266.940002,254.039993,262.299988,19053100
2/26/2021,256.84668,257.619995,265.549988,256.470001,256.470001,26619500
3/1/2021,264.114807,264.910004,266.649994,257.899994,260.820007,22157300
3/2/2021,258.222534,259,266.709991,258.649994,265.779999,15191700
3/3/2021,254.643311,255.410004,260.98999,255.100006,260.290009,15513500
3/4/2021,256.866608,257.640015,266.48999,253.5,256.470001,31626500
3/5/2021,263.486664,264.279999,265.450012,255.610001,260.670013,26820100
3/8/2021,254.543594,255.309998,265.579987,255.050003,265.549988,18391800
3/9/2021,264.942291,265.73999,268.529999,259.809998,261.179993,22039700
3/10/2021,264.104828,264.899994,268.970001,262.869995,268.640015,14210300
3/11/2021,273.057861,273.880005,277.899994,267.820007,268.109985,21834000
3/12/2021,267.594299,268.399994,269.73999,264.019989,269.140015,20600200
3/15/2021,272.928253,273.75,275.959991,268.5,269.079987,16844800
3/16/2021,278.44162,279.279999,282.140015,274.799988,276.079987,22437700
3/17/2021,283.157471,284.01001,286.230011,275.410004,275.709991,21315000
3/18/2021,277.78363,278.619995,285.190002,278.279999,279.869995,18728300
3/19/2021,289.239105,290.109985,292.799988,281.200012,281.220001,38930500
3/22/2021,292.658844,293.540009,299.709991,286.75,290.450012,28273100
3/23/2021,289.757568,290.630005,298,289.809998,293.149994,23000900
3/24/2021,281.29306,282.140015,291.720001,281.160004,291,18675000
3/25/2021,277.903259,278.73999,288.059998,277.75,280.980011,24505600
3/26/2021,282.170441,283.019989,284.5,277.769989,278.299988,17629200
3/29/2021,289.947021,290.820007,293.179993,284.700012,285.769989,21718800
3/30/2021,287.135468,288,292.470001,286.700012,289.829987,17474500
3/31/2021,293.645844,294.529999,296.5,288.609985,289.98999,19498200
4/1/2021,297.763458,298.660004,302.399994,296.600006,298.399994,17616000
4/5/2021,307.982697,308.910004,310.769989,300.679993,300.890015,28237000
4/6/2021,305.340637,306.26001,311.350006,305.25,308.839996,17335200
4/7/2021,312.150116,313.089996,314.25,305.5,306.339996,22855200
4/8/2021,312.080383,313.019989,315.880005,310.049988,314.850006,20894100
4/9/2021,311.522034,312.459991,314.73999,310.329987,311.399994,15988600
4/12/2021,310.604828,311.540009,312.149994,307.929993,311.049988,10881900
4/13/2021,308.830139,309.76001,314.429993,309.320007,312.209991,14036900
4/14/2021,301.911011,302.820007,308.029999,301.950012,307.299988,17421400
4/15/2021,306.895966,307.820007,310.140015,304.100006,306.339996,14558300
4/16/2021,305.260895,306.179993,308.950012,304.609985,308.170013,13059200
4/19/2021,301.332703,302.23999,307.700012,300.559998,305.01001,14553500
4/20/2021,301.741486,302.649994,305.100006,297.209991,301.98999,16796400
4/21/2021,300.565033,301.470001,301.980011,297.390015,301.950012,14863500
4/22/2021,295.629883,296.519989,302.920013,296.040009,301.329987,16375400
4/23/2021,300.226074,301.130005,302.589996,297.149994,298.76001,17536800
4/26/2021,302.13031,303.040009,305.799988,301.559998,303.339996,16172600
4/27/2021,302.658722,303.570007,305.339996,301.109985,304.279999,15309300
4/28/2021,306.178131,307.100006,310.920013,305.369995,307.359985,33907200
4/29/2021,328.520874,329.51001,331.809998,321.609985,330.119995,56526800
4/30/2021,324.104156,325.079987,329.820007,324.5,326.140015,26332400
5/3/2021,321.611664,322.579987,328.549988,321.839996,326.170013,18719500
5/4/2021,317.404297,318.359985,322.190002,313.119995,320.019989,24032600
5/5/2021,314.074341,315.019989,321.059998,314.48999,318.190002,15577600
5/6/2021,319.059357,320.019989,320.23999,313.269989,314.519989,19012200
5/7/2021,318.122162,319.079987,322.940002,318.75,322.380005,15916700
5/10/2021,305.051544,305.970001,314.579987,304.829987,314.350006,24239200
5/11/2021,305.609833,306.529999,306.839996,299.690002,300.75,18920100
5/12/2021,301.641754,302.549988,304.959991,298.190002,301.130005,24645500
5/13/2021,304.343658,305.26001,308.859985,302.769989,306.079987,18079200
5/14/2021,314.991608,315.940002,316.850006,309.079987,309.540009,19245700
5/17/2021,314.513031,315.459991,315.679993,311.579987,313.549988,15401300
5/18/2021,309.029541,309.959991,316.5,309.809998,315.589996,14522400
5/19/2021,312.648651,313.589996,314.660004,303.570007,304.190002,19106200
5/20/2021,317.653564,318.609985,319.25,313.160004,313.579987,17320200
5/21/2021,315.280731,316.230011,319.929993,315.809998,319.290009,13600900
5/24/2021,323.655487,324.630005,325.950012,318.029999,318.209991,16445400
5/25/2021,326.806061,327.790009,329.179993,324.799988,327.079987,16437000
5/26/2021,326.676422,327.660004,329.829987,325.820007,328.350006,9686900
5/27/2021,331.751129,332.75,333.779999,326.76001,328,20477700
5/28/2021,327.743195,328.730011,332.869995,328.329987,331,12037400
6/1/2021,328.141998,329.130005,331.420013,326.640015,330.149994,11765900
6/2/2021,328.161926,329.149994,331.869995,327.119995,330.380005,11654300
6/3/2021,325.061249,326.040009,327.380005,323.480011,325.779999,12610800
6/4/2021,329.358368,330.350006,332.459991,325.179993,325.899994,13289400
6/7/2021,335.569641,336.579987,337.690002,328.929993,329.480011,20136700
6/8/2021,332.678345,333.679993,338.299988,332.23999,336.700012,14580500
6/9/2021,329.258636,330.25,336.799988,330,335.73999,13727900
6/10/2021,331.462006,332.459991,333.940002,328.549988,330.790009,13240200
6/11/2021,330.265625,331.26001,332.829987,328.929993,332.579987,13587900
6/14/2021,335.759064,336.769989,336.820007,329.809998,331.899994,12250800
6/15/2021,335.739136,336.75,339.920013,335.029999,336.98999,15795200
6/16/2021,330.086121,331.079987,337.549988,328.720001,336.700012,17232200
6/17/2021,335.499878,336.51001,337.980011,330.149994,330.48999,17794100
6/18/2021,328.67041,329.660004,336.149994,329,334.529999,23039500
6/21/2021,331.292511,332.290009,332.920013,327.649994,331.089996,11337500
6/22/2021,338.012268,339.029999,339.920013,332.600006,332.690002,15345300
6/23/2021,339.567566,340.589996,343.420013,338.200012,339.350006,14817800
6/24/2021,342.149811,343.179993,344.899994,341.790009,341.850006,12329100
6/25/2021,340.345245,341.369995,344.119995,339.679993,342.589996,14594400
